t, c	M(t), рад	E(t), рад	Teta(t), с	
169	0.117788	-1.06255	4.7107
170	0.118485	-1.06186	4.7115
171	0.119182	-1.06116	4.7123
172	0.119879	-1.06046	4.7131
173	0.120576	-1.05976	4.7139
174	0.121273	-1.05907	4.7147
175	0.12197	-1.05837	4.7155
176	0.122667	-1.05767	4.7163
177	0.123364	-1.05698	4.7171
178	0.124061	-1.05628	4.7179
179	0.124758	-1.05558	4.7187
180	0.125455	-1.05489	4.7195
181	0.126152	-1.05419	4.7203
182	0.126849	-1.05349	4.7211
183	0.127546	-1.05279	4.7219
184	0.128242	-1.0521	4.72271
185	0.128939	-1.0514	4.72351
186	0.129636	-1.0507	4.72431
187	0.130333	-1.05001	4.72511
188	0.13103	-1.04931	4.72592
189	0.131727	-1.04861	4.72672
190	0.132424	-1.04792	4.72753
191	0.133121	-1.04722	4.72833
192	0.133818	-1.04652	4.72914
193	0.134515	-1.04582	4.72994
194	0.135212	-1.04513	4.73075
195	0.135909	-1.04443	4.73155
196	0.136606	-1.04373	4.73236
197	0.137303	-1.04304	4.73316
198	0.138	-1.04234	4.73397
199	0.138697	-1.04164	4.73478
200	0.139394	-1.04095	4.73559
201	0.140091	-1.04025	4.73639
202	0.140788	-1.03955	4.7372
203	0.141485	-1.03886	4.73801
204	0.142182	-1.03816	4.73882
205	0.142879	-1.03746	4.73963
206	0.143576	-1.03676	4.74044
207	0.144273	-1.03607	4.74125
208	0.14497	-1.03537	4.74206
209	0.145667	-1.03467	4.74287
210	0.146364	-1.03398	4.74368
211	0.147061	-1.03328	4.74449
212	0.147758	-1.03258	4.7453
213	0.148455	-1.03189	4.74611
214	0.149152	-1.03119	4.74692
215	0.149849	-1.03049	4.74773
216	0.150546	-1.02979	4.74855
217	0.151243	-1.0291	4.74936
218	0.151939	-1.0284	4.75017
219	0.152636	-1.0277	4.75098
220	0.153333	-1.02701	4.7518
221	0.15403	-1.02631	4.75261
222	0.154727	-1.02561	4.75343
223	0.155424	-1.02492	4.75424
224	0.156121	-1.02422	4.75506
225	0.156818	-1.02352	4.75587
226	0.157515	-1.02282	4.75669
227	0.158212	-1.02213	4.7575
228	0.158909	-1.02143	4.75832
229	0.159606	-1.02073	4.75914
230	0.160303	-1.02004	4.75995
231	0.161	-1.01934	4.76077
232	0.161697	-1.01864	4.76159
233	0.162394	-1.01795	4.7624
234	0.163091	-1.01725	4.76322
235	0.163788	-1.01655	4.76404
236	0.164485	-1.01586	4.76486
237	0.165182	-1.01516	4.76568
238	0.165879	-1.01446	4.7665
239	0.166576	-1.01376	4.76732
240	0.167273	-1.01307	4.76814
241	0.16797	-1.01237	4.76896
242	0.168667	-1.01167	4.76978
243	0.169364	-1.01098	4.7706
244	0.170061	-1.01028	4.77142
245	0.170758	-1.00958	4.77224
246	0.171455	-1.00889	4.77306
247	0.172152	-1.00819	4.77389
248	0.172849	-1.00749	4.77471
249	0.173546	-1.00679	4.77553
250	0.174243	-1.0061	4.77636
251	0.174939	-1.0054	4.77718
252	0.175636	-1.0047	4.778
253	0.176333	-1.00401	4.77883
254	0.17703	-1.00331	4.77965
255	0.177727	-1.00261	4.78048
256	0.178424	-1.00192	4.7813
257	0.179121	-1.00122	4.78213
258	0.179818	-1.00052	4.78295
259	0.180515	-0.999825	4.78378
260	0.181212	-0.999128	4.78461
261	0.181909	-0.998431	4.78543
262	0.182606	-0.997734	4.78626
263	0.183303	-0.997037	4.78709
264	0.184	-0.99634	4.78791
265	0.184697	-0.995643	4.78874
266	0.185394	-0.994946	4.78957
267	0.186091	-0.994249	4.7904
268	0.186788	-0.993552	4.79123
269	0.187485	-0.992855	4.79206
270	0.188182	-0.992158	4.79289
271	0.188879	-0.991461	4.79372
272	0.189576	-0.990764	4.79455
273	0.190273	-0.990067	4.79538
274	0.19097	-0.98937	4.79621
275	0.191667	-0.988673	4.79704
276	0.192364	-0.987976	4.79787
277	0.193061	-0.987279	4.7987
278	0.193758	-0.986583	4.79954
279	0.194455	-0.985886	4.80037
280	0.195152	-0.985189	4.8012
281	0.195849	-0.984492	4.80203
282	0.196546	-0.983795	4.80287
283	0.197243	-0.983098	4.8037
284	0.19794	-0.982401	4.80454
285	0.198636	-0.981704	4.80537
286	0.199333	-0.981007	4.80621
287	0.20003	-0.98031	4.80704
288	0.200727	-0.979613	4.80788
289	0.201424	-0.978916	4.80871
290	0.202121	-0.978219	4.80955
291	0.202818	-0.977522	4.81038
292	0.203515	-0.976825	4.81122
293	0.204212	-0.976128	4.81206
294	0.204909	-0.975431	4.8129
295	0.205606	-0.974734	4.81373
296	0.206303	-0.974037	4.81457
297	0.207	-0.97334	4.81541
298	0.207697	-0.972643	4.81625
299	0.208394	-0.971946	4.81709
300	0.209091	-0.971249	4.81793
301	0.209788	-0.970552	4.81877
302	0.210485	-0.969855	4.81961
303	0.211182	-0.969158	4.82045
304	0.211879	-0.968461	4.82129
305	0.212576	-0.967764	4.82213
306	0.213273	-0.967067	4.82297
307	0.21397	-0.96637	4.82381
308	0.214667	-0.965673	4.82465
309	0.215364	-0.964976	4.8255
310	0.216061	-0.964279	4.82634
311	0.216758	-0.963582	4.82718
312	0.217455	-0.962886	4.82802
313	0.218152	-0.962189	4.82887
314	0.218849	-0.961492	4.82971
315	0.219546	-0.960795	4.83056
316	0.220243	-0.960098	4.8314
317	0.22094	-0.959401	4.83225
318	0.221636	-0.958704	4.83309
319	0.222333	-0.958007	4.83394
320	0.22303	-0.95731	4.83478
321	0.223727	-0.956613	4.83563
322	0.224424	-0.955916	4.83647
323	0.225121	-0.955219	4.83732
324	0.225818	-0.954522	4.83817
325	0.226515	-0.953825	4.83902
326	0.227212	-0.953128	4.83986
327	0.227909	-0.952431	4.84071
328	0.228606	-0.951734	4.84156
329	0.229303	-0.951037	4.84241
330	0.23	-0.95034	4.84326
331	0.230697	-0.949643	4.84411
332	0.231394	-0.948946	4.84496
333	0.232091	-0.948249	4.84581
334	0.232788	-0.947552	4.84666
335	0.233485	-0.946855	4.84751
336	0.234182	-0.946158	4.84836
337	0.234879	-0.945461	4.84921
338	0.235576	-0.944764	4.85006
339	0.236273	-0.944067	4.85092
340	0.23697	-0.94337	4.85177
341	0.237667	-0.942673	4.85262
342	0.238364	-0.941976	4.85347
343	0.239061	-0.941279	4.85433
344	0.239758	-0.940582	4.85518
345	0.240455	-0.939886	4.85604
346	0.241152	-0.939189	4.85689
347	0.241849	-0.938492	4.85774
348	0.242546	-0.937795	4.8586
349	0.243243	-0.937098	4.85946
350	0.24394	-0.936401	4.86031
351	0.244636	-0.935704	4.86117
352	0.245333	-0.935007	4.86202
353	0.24603	-0.93431	4.86288
354	0.246727	-0.933613	4.86374
355	0.247424	-0.932916	4.86459
356	0.248121	-0.932219	4.86545
357	0.248818	-0.931522	4.86631
358	0.249515	-0.930825	4.86717
359	0.250212	-0.930128	4.86803
360	0.250909	-0.929431	4.86889
361	0.251606	-0.928734	4.86975
362	0.252303	-0.928037	4.87061
363	0.253	-0.92734	4.87147
364	0.253697	-0.926643	4.87233
365	0.254394	-0.925946	4.87319
366	0.255091	-0.925249	4.87405
367	0.255788	-0.924552	4.87491
368	0.256485	-0.923855	4.87577
369	0.257182	-0.923158	4.87663
370	0.257879	-0.922461	4.87749
371	0.258576	-0.921764	4.87836
372	0.259273	-0.921067	4.87922
373	0.25997	-0.92037	4.88008
374	0.260667	-0.919673	4.88095
375	0.261364	-0.918976	4.88181
376	0.262061	-0.918279	4.88268
377	0.262758	-0.917582	4.88354
378	0.263455	-0.916885	4.88441
379	0.264152	-0.916189	4.88527
380	0.264849	-0.915492	4.88614
381	0.265546	-0.914795	4.887
382	0.266243	-0.914098	4.88787
383	0.26694	-0.913401	4.88874
384	0.267637	-0.912704	4.8896
385	0.268333	-0.912007	4.89047
386	0.26903	-0.91131	4.89134
387	0.269727	-0.910613	4.89221
388	0.270424	-0.909916	4.89307
389	0.271121	-0.909219	4.89394
390	0.271818	-0.908522	4.89481
391	0.272515	-0.907825	4.89568
392	0.273212	-0.907128	4.89655
393	0.273909	-0.906431	4.89742
394	0.274606	-0.905734	4.89829
395	0.275303	-0.905037	4.89916
396	0.276	-0.90434	4.90003
397	0.276697	-0.903643	4.9009
398	0.277394	-0.902946	4.90177
399	0.278091	-0.902249	4.90265
400	0.278788	-0.901552	4.90352
401	0.279485	-0.900855	4.90439
402	0.280182	-0.900158	4.90526
403	0.280879	-0.899461	4.90614
404	0.281576	-0.898764	4.90701
405	0.282273	-0.898067	4.90789
406	0.28297	-0.89737	4.90876
407	0.283667	-0.896673	4.90963
408	0.284364	-0.895976	4.91051
409	0.285061	-0.895279	4.91139
410	0.285758	-0.894582	4.91226
411	0.286455	-0.893885	4.91314
412	0.287152	-0.893189	4.91401
413	0.287849	-0.892492	4.91489
414	0.288546	-0.891795	4.91577
415	0.289243	-0.891098	4.91664
416	0.28994	-0.890401	4.91752
417	0.290637	-0.889704	4.9184
418	0.291333	-0.889007	4.91928
419	0.29203	-0.88831	4.92016
420	0.292727	-0.887613	4.92104
421	0.293424	-0.886916	4.92192
422	0.294121	-0.886219	4.92279
423	0.294818	-0.885522	4.92367
424	0.295515	-0.884825	4.92456
425	0.296212	-0.884128	4.92544
426	0.296909	-0.883431	4.92632
427	0.297606	-0.882734	4.9272
428	0.298303	-0.882037	4.92808
429	0.299	-0.88134	4.92896
430	0.299697	-0.880643	4.92984
