t, c	M(t), рад	E(t), рад	Teta(t), с	
0	0	-5.96046e-07	6.28318
1	0.00069697	0.000696374	0.00118705
2	0.00139394	0.00139334	0.00237512
3	0.00209091	0.00209031	0.00356318
4	0.00278788	0.00278728	0.00475124
5	0.00348485	0.00348425	0.0059393
6	0.00418182	0.00418122	0.00712736
7	0.00487879	0.00487819	0.00831542
8	0.00557576	0.00557516	0.00950347
9	0.00627273	0.00627213	0.0106915
10	0.0069697	0.0069691	0.0118796
11	0.00766667	0.00766607	0.0130676
12	0.00836364	0.00836304	0.0142556
13	0.00906061	0.00906002	0.0154436
14	0.00975758	0.00975699	0.0166317
15	0.0104546	0.010454	0.0178197
16	0.0111515	0.0111509	0.0190077
17	0.0118485	0.0118479	0.0201957
18	0.0125455	0.0125449	0.0213836
19	0.0132424	0.0132418	0.0225716
20	0.0139394	0.0139388	0.0237596
21	0.0146364	0.0146358	0.0249475
22	0.0153333	0.0153327	0.0261355
23	0.0160303	0.0160297	0.0273234
24	0.0167273	0.0167267	0.0285113
25	0.0174243	0.0174237	0.0296992
26	0.0181212	0.0181206	0.0308871
27	0.0188182	0.0188176	0.032075
28	0.0195152	0.0195146	0.0332628
29	0.0202121	0.0202115	0.0344507
30	0.0209091	0.0209085	0.0356385
31	0.0216061	0.0216055	0.0368263
32	0.022303	0.0223024	0.0380141
33	0.023	0.0229994	0.0392019
34	0.023697	0.0236964	0.0403896
35	0.024394	0.0243934	0.0415774
36	0.0250909	0.0250903	0.0427651
37	0.0257879	0.0257873	0.0439528
38	0.0264849	0.0264843	0.0451405
39	0.0271818	0.0271812	0.0463281
40	0.0278788	0.0278782	0.0475158
41	0.0285758	0.0285752	0.0487034
42	0.0292727	0.0292721	0.049891
43	0.0299697	0.0299691	0.0510785
44	0.0306667	0.0306661	0.0522661
45	0.0313637	0.0313631	0.0534536
46	0.0320606	0.03206	0.0546411
47	0.0327576	0.032757	0.0558286
48	0.0334546	0.033454	0.057016
49	0.0341515	0.0341509	0.0582034
50	0.0348485	0.0348479	0.0593908
51	0.0355455	0.0355449	0.0605782
52	0.0362424	0.0362418	0.0617655
53	0.0369394	0.0369388	0.0629528
54	0.0376364	0.0376358	0.0641401
55	0.0383334	0.0383328	0.0653274
56	0.0390303	0.0390297	0.0665146
57	0.0397273	0.0397267	0.0677018
58	0.0404243	0.0404237	0.0688889
59	0.0411212	0.0411206	0.0700761
60	0.0418182	0.0418176	0.0712632
61	0.0425152	0.0425146	0.0724502
62	0.0432121	0.0432115	0.0736373
63	0.0439091	0.0439085	0.0748242
64	0.0446061	0.0446055	0.0760112
65	0.0453031	0.0453025	0.0771981
66	0.046	0.0459994	0.078385
67	0.046697	0.0466964	0.0795719
68	0.047394	0.0473934	0.0807587
69	0.0480909	0.0480903	0.0819455
70	0.0487879	0.0487873	0.0831322
71	0.0494849	0.0494843	0.0843189
72	0.0501818	0.0501813	0.0855056
73	0.0508788	0.0508782	0.0866922
74	0.0515758	0.0515752	0.0878788
75	0.0522728	0.0522722	0.0890653
76	0.0529697	0.0529691	0.0902518
77	0.0536667	0.0536661	0.0914383
78	0.0543637	0.0543631	0.0926247
79	0.0550606	0.05506	0.0938111
80	0.0557576	0.055757	0.0949974
81	0.0564546	0.056454	0.0961837
82	0.0571515	0.057151	0.0973699
83	0.0578485	0.0578479	0.0985561
84	0.0585455	0.0585449	0.0997423
85	0.0592425	0.0592419	0.100928
86	0.0599394	0.0599388	0.102114
87	0.0606364	0.0606358	0.1033
88	0.0613334	0.0613328	0.104486
89	0.0620303	0.0620297	0.105672
90	0.0627273	0.0627267	0.106858
91	0.0634243	0.0634237	0.108044
92	0.0641212	0.0641207	0.10923
93	0.0648182	0.0648176	0.110416
94	0.0655152	0.0655146	0.111601
95	0.0662122	0.0662116	0.112787
96	0.0669091	0.0669085	0.113972
97	0.0676061	0.0676055	0.115158
98	0.0683031	0.0683025	0.116343
99	0.069	0.0689994	0.117529
100	0.069697	0.0696964	0.118714
101	0.070394	0.0703934	0.119899
102	0.0710909	0.0710904	0.121085
103	0.0717879	0.0717873	0.12227
104	0.0724849	0.0724843	0.123455
105	0.0731819	0.0731813	0.12464
106	0.0738788	0.0738782	0.125825
107	0.0745758	0.0745752	0.12701
108	0.0752728	0.0752722	0.128195
109	0.0759697	0.0759691	0.12938
110	0.0766667	0.0766661	0.130565
111	0.0773637	0.0773631	0.131749
112	0.0780606	0.0780601	0.132934
113	0.0787576	0.078757	0.134118
114	0.0794546	0.079454	0.135303
115	0.0801516	0.080151	0.136487
116	0.0808485	0.0808479	0.137672
117	0.0815455	0.0815449	0.138856
118	0.0822425	0.0822419	0.140041
119	0.0829394	0.0829388	0.141225
120	0.0836364	0.0836358	0.142409
121	0.0843334	0.0843328	0.143593
122	0.0850304	0.0850298	0.144777
123	0.0857273	0.0857267	0.145961
124	0.0864243	0.0864237	0.147145
125	0.0871213	0.0871207	0.148329
126	0.0878182	0.0878176	0.149512
127	0.0885152	0.0885146	0.150696
128	0.0892122	0.0892116	0.15188
129	0.0899091	0.0899085	0.153063
130	0.0906061	0.0906055	0.154247
131	0.0913031	0.0913025	0.15543
132	0.0920001	0.0919995	0.156614
133	0.092697	0.0926964	0.157797
134	0.093394	0.0933934	0.15898
135	0.094091	0.0940904	0.160163
136	0.0947879	0.0947873	0.161346
137	0.0954849	0.0954843	0.162529
138	0.0961819	0.0961813	0.163712
139	0.0968788	0.0968782	0.164895
140	0.0975758	0.0975752	0.166078
141	0.0982728	0.0982722	0.16726
142	0.0989698	0.0989692	0.168443
143	0.0996667	0.0996661	0.169625
144	0.100364	0.100363	0.170808
145	0.101061	0.10106	0.17199
146	0.101758	0.101757	0.173172
147	0.102455	0.102454	0.174355
148	0.103152	0.103151	0.175537
149	0.103849	0.103848	0.176719
150	0.104546	0.104545	0.177901
151	0.105242	0.105242	0.179083
152	0.105939	0.105939	0.180264
153	0.106636	0.106636	0.181446
154	0.107333	0.107333	0.182628
155	0.10803	0.10803	0.183809
156	0.108727	0.108727	0.184991
157	0.109424	0.109424	0.186172
158	0.110121	0.110121	0.187353
159	0.110818	0.110818	0.188535
160	0.111515	0.111515	0.189716
161	0.112212	0.112212	0.190897
162	0.112909	0.112909	0.192078
163	0.113606	0.113606	0.193259
164	0.114303	0.114302	0.194439
165	0.115	0.114999	0.19562
166	0.115697	0.115696	0.196801
167	0.116394	0.116393	0.197981
168	0.117091	0.11709	0.199161
169	0.117788	0.117787	0.200342
170	0.118485	0.118484	0.201522
171	0.119182	0.119181	0.202702
172	0.119879	0.119878	0.203882
173	0.120576	0.120575	0.205062
174	0.121273	0.121272	0.206242
175	0.12197	0.121969	0.207422
176	0.122667	0.122666	0.208601
177	0.123364	0.123363	0.209781
178	0.124061	0.12406	0.210961
179	0.124758	0.124757	0.21214
180	0.125455	0.125454	0.213319
181	0.126152	0.126151	0.214498
182	0.126849	0.126848	0.215677
183	0.127546	0.127545	0.216856
184	0.128242	0.128242	0.218035
185	0.128939	0.128939	0.219214
186	0.129636	0.129636	0.220393
187	0.130333	0.130333	0.221571
188	0.13103	0.13103	0.22275
189	0.131727	0.131727	0.223928
190	0.132424	0.132424	0.225107
191	0.133121	0.133121	0.226285
192	0.133818	0.133818	0.227463
193	0.134515	0.134515	0.228641
194	0.135212	0.135212	0.229819
195	0.135909	0.135909	0.230996
196	0.136606	0.136606	0.232174
197	0.137303	0.137303	0.233352
198	0.138	0.137999	0.234529
199	0.138697	0.138696	0.235706
200	0.139394	0.139393	0.236884
201	0.140091	0.14009	0.238061
202	0.140788	0.140787	0.239238
203	0.141485	0.141484	0.240415
204	0.142182	0.142181	0.241592
205	0.142879	0.142878	0.242768
206	0.143576	0.143575	0.243945
207	0.144273	0.144272	0.245121
208	0.14497	0.144969	0.246298
209	0.145667	0.145666	0.247474
210	0.146364	0.146363	0.24865
211	0.147061	0.14706	0.249826
212	0.147758	0.147757	0.251002
213	0.148455	0.148454	0.252178
214	0.149152	0.149151	0.253354
215	0.149849	0.149848	0.254529
216	0.150546	0.150545	0.255705
217	0.151243	0.151242	0.25688
218	0.151939	0.151939	0.258055
219	0.152636	0.152636	0.25923
220	0.153333	0.153333	0.260405
221	0.15403	0.15403	0.26158
222	0.154727	0.154727	0.262755
223	0.155424	0.155424	0.26393
224	0.156121	0.156121	0.265104
225	0.156818	0.156818	0.266278
226	0.157515	0.157515	0.267453
227	0.158212	0.158212	0.268627
228	0.158909	0.158909	0.269801
229	0.159606	0.159606	0.270975
230	0.160303	0.160303	0.272149
231	0.161	0.160999	0.273322
232	0.161697	0.161696	0.274496
233	0.162394	0.162393	0.275669
234	0.163091	0.16309	0.276843
235	0.163788	0.163787	0.278016
236	0.164485	0.164484	0.279189
237	0.165182	0.165181	0.280362
238	0.165879	0.165878	0.281534
239	0.166576	0.166575	0.282707
240	0.167273	0.167272	0.28388
241	0.16797	0.167969	0.285052
242	0.168667	0.168666	0.286224
243	0.169364	0.169363	0.287396
244	0.170061	0.17006	0.288568
245	0.170758	0.170757	0.28974
246	0.171455	0.171454	0.290912
247	0.172152	0.172151	0.292084
248	0.172849	0.172848	0.293255
249	0.173546	0.173545	0.294427
250	0.174243	0.174242	0.295598
251	0.174939	0.174939	0.296769
252	0.175636	0.175636	0.29794
253	0.176333	0.176333	0.299111
254	0.17703	0.17703	0.300281
