t, c	M(t), рад	E(t), рад	Teta(t), с	
0	0	0	0
1	0.00069697	0.0013599	0.0023181
2	0.00139394	0.00272114	0.0046385
3	0.00209091	0.00408223	0.00695862
4	0.00278788	0.00544343	0.00927891
5	0.00348485	0.00680427	0.0115986
6	0.00418182	0.00816555	0.013919
7	0.00487879	0.00952644	0.0162387
8	0.00557576	0.0108873	0.0185583
9	0.00627273	0.0122486	0.0208787
10	0.0069697	0.0136095	0.0231983
11	0.00766667	0.0149703	0.0255178
12	0.00836364	0.0163312	0.0278372
13	0.00906061	0.017692	0.0301565
14	0.00975758	0.0190532	0.0324765
15	0.0104546	0.020414	0.0347957
16	0.0111515	0.0217747	0.0371147
17	0.0118485	0.0231354	0.0394336
18	0.0125455	0.024496	0.0417524
19	0.0132424	0.0258567	0.044071
20	0.0139394	0.0272172	0.0463895
21	0.0146364	0.0285782	0.0487085
22	0.0153333	0.0299387	0.0510267
23	0.0160303	0.0312991	0.0533447
24	0.0167273	0.0326595	0.0556625
25	0.0174243	0.0340198	0.0579801
26	0.0181212	0.0353801	0.0602974
27	0.0188182	0.0367403	0.0626146
28	0.0195152	0.0381004	0.0649316
29	0.0202121	0.0394605	0.0672483
30	0.0209091	0.0408205	0.0695648
31	0.0216061	0.0421804	0.0718811
32	0.022303	0.0435407	0.0741978
33	0.023	0.0449005	0.0765136
34	0.023697	0.0462602	0.0788291
35	0.024394	0.0476198	0.0811443
36	0.0250909	0.0489794	0.0834592
37	0.0257879	0.0503388	0.0857739
38	0.0264849	0.0516982	0.0880882
39	0.0271818	0.0530575	0.0904023
40	0.0278788	0.0544167	0.092716
41	0.0285758	0.0557758	0.0950293
42	0.0292727	0.0571348	0.0973424
43	0.0299697	0.0584937	0.0996551
44	0.0306667	0.0598525	0.101967
45	0.0313637	0.0612112	0.104279
46	0.0320606	0.0625697	0.106591
47	0.0327576	0.0639282	0.108902
48	0.0334546	0.0652866	0.111213
49	0.0341515	0.0666448	0.113524
50	0.0348485	0.0680034	0.115835
51	0.0355455	0.0693614	0.118144
52	0.0362424	0.0707193	0.120454
53	0.0369394	0.0720771	0.122762
54	0.0376364	0.0734347	0.125071
55	0.0383334	0.0747922	0.127379
56	0.0390303	0.0761496	0.129687
57	0.0397273	0.0775069	0.131994
58	0.0404243	0.078864	0.1343
59	0.0411212	0.080221	0.136606
60	0.0418182	0.0815778	0.138912
61	0.0425152	0.0829345	0.141217
62	0.0432121	0.084291	0.143522
63	0.0439091	0.0856475	0.145826
64	0.0446061	0.0870037	0.14813
65	0.0453031	0.0883598	0.150433
