t, c	M(t), рад	E(t), рад	Teta(t), с	
0	0	0	0
1	0.00069697	0.00136057	0.00231926
2	0.00139394	0.00272167	0.00463939
3	0.00209091	0.00408249	0.00695907
4	0.00278788	0.00544382	0.00927958
5	0.00348485	0.00680476	0.0115994
6	0.00418182	0.00816569	0.0139192
7	0.00487879	0.0095266	0.016239
8	0.00557576	0.010888	0.0185595
9	0.00627273	0.0122489	0.0208792
10	0.0069697	0.0136098	0.0231989
11	0.00766667	0.0149707	0.0255184
12	0.00836364	0.0163316	0.0278379
13	0.00906061	0.0176924	0.0301573
14	0.00975758	0.0190532	0.0324766
15	0.0104546	0.020414	0.0347957
16	0.0111515	0.0217747	0.0371148
17	0.0118485	0.023136	0.0394346
18	0.0125455	0.0244966	0.0417534
19	0.0132424	0.0258573	0.0440721
20	0.0139394	0.0272179	0.0463906
21	0.0146364	0.0285784	0.0487089
22	0.0153333	0.0299389	0.0510271
23	0.0160303	0.0312994	0.0533451
24	0.0167273	0.0326598	0.0556629
25	0.0174243	0.0340201	0.0579806
26	0.0181212	0.0353804	0.060298
27	0.0188182	0.0367406	0.0626152
28	0.0195152	0.0381007	0.0649322
29	0.0202121	0.0394608	0.0672489
30	0.0209091	0.0408208	0.0695654
31	0.0216061	0.0421808	0.0718817
32	0.022303	0.0435406	0.0741977
33	0.023	0.0449004	0.0765135
34	0.023697	0.0462606	0.0788298
35	0.024394	0.0476203	0.081145
36	0.0250909	0.0489798	0.08346
37	0.0257879	0.0503393	0.0857747
38	0.0264849	0.0516987	0.088089
39	0.0271818	0.053058	0.0904031
40	0.0278788	0.0544172	0.0927168
41	0.0285758	0.0557763	0.0950302
42	0.0292727	0.0571353	0.0973433
43	0.0299697	0.0584942	0.099656
44	0.0306667	0.059853	0.101968
45	0.0313637	0.0612117	0.10428
46	0.0320606	0.0625703	0.106592
47	0.0327576	0.0639288	0.108903
48	0.0334546	0.0652871	0.111214
49	0.0341515	0.0666454	0.113525
50	0.0348485	0.0680035	0.115835
51	0.0355455	0.0693616	0.118145
52	0.0362424	0.0707195	0.120454
53	0.0369394	0.0720772	0.122763
54	0.0376364	0.0734349	0.125071
55	0.0383334	0.0747924	0.127379
56	0.0390303	0.0761498	0.129687
57	0.0397273	0.077507	0.131994
58	0.0404243	0.0788642	0.134301
59	0.0411212	0.0802211	0.136607
60	0.0418182	0.081578	0.138912
61	0.0425152	0.0829347	0.141218
62	0.0432121	0.0842912	0.143522
